NAME	TITLE	SCORE	
ENSG00000114544		1.8882269	
ENSG00000073712		1.8880588	
ENSG00000109917		1.8871417	
ENSG00000140181		1.886399	
ENSG00000007520		1.8853562	
ENSG00000187498		1.8848794	
ENSG00000069849		1.882613	
ENSG00000242327		1.8825233	
ENSG00000165887		1.880778	
ENSG00000116871		1.8800583	
ENSG00000256799		1.8792613	
ENSG00000088833		1.8789223	
ENSG00000198865		1.8766326	
ENSG00000141086		1.8763156	
ENSG00000105767		1.8761526	
ENSG00000132003		1.8758734	
ENSG00000255725		1.8743806	
ENSG00000131408		1.8734896	
ENSG00000111907		1.8711234	
ENSG00000003137		1.8709759	
ENSG00000065978		1.8663114	
ENSG00000125691		1.8643892	
ENSG00000245694		1.864012	
ENSG00000249600		1.8635176	
ENSG00000102962		1.8616225	
ENSG00000221844		1.8584596	
ENSG00000118523		1.8570331	
ENSG00000101278		1.856187	
ENSG00000224813		1.8544952	
ENSG00000075624		1.8542713	
ENSG00000122299		1.8533424	
ENSG00000204991		1.8527505	
ENSG00000255748		1.8507029	
ENSG00000130202		1.8492066	
ENSG00000175711		1.848282	
ENSG00000166595		1.8477432	
ENSG00000068137		1.8458523	
ENSG00000162032		1.8457713	
ENSG00000124067		1.8439837	
ENSG00000151376		1.8397256	
ENSG00000197451		1.8373209	
ENSG00000161265		1.8368936	
ENSG00000119632		1.8360351	
ENSG00000131943		1.8352515	
ENSG00000163882		1.8344945	
ENSG00000176915		1.8333436	
ENSG00000137634		1.8331529	
ENSG00000101210		1.8325956	
ENSG00000090097		1.832389	
ENSG00000131473		1.8321836	
ENSG00000171858		1.8313105	
ENSG00000181264		1.8312877	
ENSG00000002330		1.8309226	
ENSG00000102038		1.8302001	
ENSG00000105771		1.8296285	
ENSG00000123810		1.8281131	
ENSG00000174233		1.826951	
ENSG00000205913		1.8266815	
ENSG00000132024		1.8260655	
ENSG00000141506		1.824942	
ENSG00000139546		1.8243966	
ENSG00000100065		1.8209015	
ENSG00000089693		1.8207364	
ENSG00000113758		1.8196968	
ENSG00000123416		1.8188056	
ENSG00000130702		1.8175302	
ENSG00000110756		1.8169367	
ENSG00000104960		1.816914	
ENSG00000050165		1.8166611	
ENSG00000103241		1.8164225	
ENSG00000158806		1.8162981	
ENSG00000215035		1.8159256	
ENSG00000205609		1.8152694	
ENSG00000198211		1.8152081	
ENSG00000087088		1.8143858	
ENSG00000167721		1.8142827	
ENSG00000197958		1.8120201	
ENSG00000232951		1.8113999	
ENSG00000103266		1.8091528	
ENSG00000064932		1.8062359	
ENSG00000090534		1.8060002	
ENSG00000122359		1.8026371	
ENSG00000107611		1.8023603	
